year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,2,historical_density,5000,13,514,1911,12,1.0,342.4612
2005,2,random,5000,13,784,3814,12,0.1264,8.3536
2005,2,spatial_coverage,5000,13,824,5000,12,0.0982,9.8124
2005,2,historical_density,5000,14,519,1903,12,1.0,346.084
2005,2,random,5000,14,790,3784,12,0.1108,8.15
2005,2,spatial_coverage,5000,14,824,5000,12,0.0968,9.3226
2005,2,historical_density,5000,15,520,1892,12,1.0,347.2328
2005,2,random,5000,15,781,3862,12,0.1116,10.6314
2005,2,spatial_coverage,5000,15,824,5000,12,0.1008,8.9598
2005,2,historical_density,5000,16,520,1903,12,1.0,347.5552
2005,2,random,5000,16,780,3814,12,0.1066,7.2342
2005,2,spatial_coverage,5000,16,824,5000,12,0.1008,8.0308
2005,2,historical_density,5000,17,528,1924,12,1.0,348.6822
2005,2,random,5000,17,779,3818,12,0.1104,6.9494
2005,2,spatial_coverage,5000,17,824,5000,12,0.1104,10.2986
2005,2,historical_density,5000,18,510,1936,12,1.0,346.0112
2005,2,random,5000,18,775,3765,12,0.1188,7.5162
2005,2,spatial_coverage,5000,18,824,5000,12,0.0988,8.0604
2005,2,historical_density,5000,19,523,1939,12,1.0,347.4316
2005,2,random,5000,19,775,3759,12,0.1122,8.2484
2005,2,spatial_coverage,5000,19,824,5000,12,0.0994,8.5698
2005,3,historical_density,1000,0,317,671,12,1.0,710.327
2005,3,random,1000,0,535,946,12,0.115,6.257
2005,3,spatial_coverage,1000,0,609,1000,12,0.095,6.598
2005,3,historical_density,1000,1,305,670,12,1.0,721.936
2005,3,random,1000,1,550,958,12,0.108,8.129
2005,3,spatial_coverage,1000,1,606,1000,12,0.101,10.077
2005,3,historical_density,1000,2,304,682,12,1.0,695.16
2005,3,random,1000,2,555,953,12,0.121,7.809
2005,3,spatial_coverage,1000,2,600,1000,12,0.105,10.735
2005,3,historical_density,1000,3,289,659,12,1.0,707.546
2005,3,random,1000,3,550,935,12,0.106,12.69
2005,3,spatial_coverage,1000,3,594,1000,12,0.094,6.483
2005,3,historical_density,1000,4,299,664,12,1.0,731.665
2005,3,random,1000,4,539,945,12,0.117,8.043
2005,3,spatial_coverage,1000,4,592,1000,12,0.113,7.063
2005,3,historical_density,1000,5,297,657,12,1.0,684.127
2005,3,random,1000,5,545,942,12,0.105,14.381
2005,3,spatial_coverage,1000,5,604,1000,12,0.089,15.749
2005,3,historical_density,1000,6,292,661,12,1.0,721.329
2005,3,random,1000,6,542,935,12,0.118,12.803
2005,3,spatial_coverage,1000,6,586,1000,12,0.127,8.251
2005,3,historical_density,1000,7,293,665,12,1.0,687.064
2005,3,random,1000,7,536,936,12,0.11,7.077
2005,3,spatial_coverage,1000,7,609,1000,12,0.119,7.751
2005,3,historical_density,1000,8,314,705,12,1.0,715.537
2005,3,random,1000,8,554,940,12,0.134,7.891
2005,3,spatial_coverage,1000,8,587,1000,12,0.095,8.867
2005,3,historical_density,1000,9,307,680,12,1.0,667.73
2005,3,random,1000,9,539,946,12,0.134,11.882
2005,3,spatial_coverage,1000,9,596,1000,12,0.11,8.833
2005,3,historical_density,1000,10,295,666,12,1.0,692.338
2005,3,random,1000,10,562,949,12,0.123,8.781
2005,3,spatial_coverage,1000,10,602,1000,12,0.1,6.611
2005,3,historical_density,1000,11,291,682,12,1.0,711.417
2005,3,random,1000,11,534,943,12,0.115,6.706
2005,3,spatial_coverage,1000,11,601,1000,12,0.097,8.867
2005,3,historical_density,1000,12,297,656,12,1.0,711.395
2005,3,random,1000,12,546,942,12,0.127,9.931
2005,3,spatial_coverage,1000,12,590,1000,12,0.089,7.65
2005,3,historical_density,1000,13,309,685,12,1.0,725.949
2005,3,random,1000,13,556,929,12,0.118,7.443
2005,3,spatial_coverage,1000,13,602,1000,12,0.102,8.786
2005,3,historical_density,1000,14,297,674,12,1.0,698.959
2005,3,random,1000,14,550,945,12,0.103,8.227
2005,3,spatial_coverage,1000,14,602,1000,12,0.102,17.271
2005,3,historical_density,1000,15,303,650,12,1.0,712.827
2005,3,random,1000,15,544,946,12,0.102,5.979
2005,3,spatial_coverage,1000,15,590,1000,12,0.091,9.922
2005,3,historical_density,1000,16,300,657,12,1.0,709.273
2005,3,random,1000,16,546,933,12,0.129,14.712
2005,3,spatial_coverage,1000,16,593,1000,12,0.105,8.178
2005,3,historical_density,1000,17,312,655,12,1.0,716.577
2005,3,random,1000,17,543,943,12,0.123,12.688
2005,3,spatial_coverage,1000,17,590,1000,12,0.101,8.325
2005,3,historical_density,1000,18,309,674,12,1.0,695.259
2005,3,random,1000,18,561,950,12,0.099,4.875
2005,3,spatial_coverage,1000,18,585,1000,12,0.102,13.391
2005,3,historical_density,1000,19,294,670,12,1.0,714.953
2005,3,random,1000,19,559,948,12,0.116,7.843
2005,3,spatial_coverage,1000,19,591,1000,12,0.096,7.462
2005,3,historical_density,5000,0,497,1866,12,1.0,382.1792
2005,3,random,5000,0,789,3820,12,0.1092,6.2292
2005,3,spatial_coverage,5000,0,825,5000,12,0.1026,8.7676
2005,3,historical_density,5000,1,493,1883,12,1.0,381.6384
2005,3,random,5000,1,781,3827,12,0.1088,8.8308
2005,3,spatial_coverage,5000,1,825,5000,12,0.0966,12.0266
2005,3,historical_density,5000,2,493,1870,12,1.0,381.9096
2005,3,random,5000,2,782,3863,12,0.1152,12.753
2005,3,spatial_coverage,5000,2,824,5000,12,0.1046,11.0974
2005,3,historical_density,5000,3,490,1898,12,1.0,382.4416
2005,3,random,5000,3,783,3804,12,0.1194,8.6068
2005,3,spatial_coverage,5000,3,825,5000,12,0.104,10.8058
2005,3,historical_density,5000,4,501,1875,12,1.0,379.7256
2005,3,random,5000,4,778,3764,12,0.1114,10.5862
2005,3,spatial_coverage,5000,4,825,5000,12,0.0984,7.9944
2005,3,historical_density,5000,5,495,1858,12,1.0,382.103
2005,3,random,5000,5,791,3834,12,0.1158,8.9074
2005,3,spatial_coverage,5000,5,825,5000,12,0.0994,13.4762
2005,3,historical_density,5000,6,490,1867,12,1.0,383.4964
2005,3,random,5000,6,777,3793,12,0.1138,8.4844
2005,3,spatial_coverage,5000,6,825,5000,12,0.1078,6.9754
2005,3,historical_density,5000,7,493,1833,12,1.0,385.0672
2005,3,random,5000,7,777,3781,12,0.1118,9.9194
2005,3,spatial_coverage,5000,7,825,5000,12,0.0986,9.7666
2005,3,historical_density,5000,8,493,1853,12,1.0,385.5302
2005,3,random,5000,8,795,3790,12,0.1224,12.2606
2005,3,spatial_coverage,5000,8,825,5000,12,0.0962,10.627
2005,3,historical_density,5000,9,492,1858,12,1.0,381.4214
