validation_scheme,year,spatial_fold,budget,domain,weighting,mean_bias_historical_density,mean_bias_random,mean_mae_historical_density,mean_mae_random,mean_rmse_historical_density,mean_rmse_random,mean_bias_difference,mean_mae_difference,mean_rmse_difference
whole_blocks,2005,4,5000,south_of_60n,equal_cell,-1.642856944276485,-1.125460698032328,13.238216171667483,11.98944556002117,20.995214257566516,19.670942836813513,-0.517396246244157,1.2487706116463126,1.3242714207530035
whole_blocks,2005,4,5000,south_of_60n,spherical_cell_area,-1.674181273214942,-1.635903360808323,12.72155923470526,11.714995359161279,20.62131895226691,19.495987741087163,-0.03827791240661882,1.006563875543982,1.1253312111797484
whole_blocks,2010,0,5000,60_to_90n,equal_cell,-33.35325505156287,-2.43288634548341,53.1487014124976,22.182585745958566,88.1708915441968,52.13973803446064,-30.920368706079458,30.966115666539036,36.031153509736164
whole_blocks,2010,0,5000,60_to_90n,spherical_cell_area,-35.419829241526266,-3.5366617734416237,52.39091586631107,25.270605975717597,91.2808480097116,56.6154854865831,-31.883167468084643,27.12030989059347,34.66536252312851
whole_blocks,2010,0,5000,global,equal_cell,-3.8211074276966728,0.4871144159644681,18.243267547640674,13.27329666360545,36.724826639149555,27.271153505601365,-4.308221843661141,4.969970884035224,9.45367313354819
whole_blocks,2010,0,5000,global,spherical_cell_area,-1.1005826603505109,0.8123755570677661,14.977143171655005,12.35285715706096,28.900301851211275,24.319485505916187,-1.9129582174182769,2.6242860145940448,4.580816345295087
whole_blocks,2010,0,5000,south_of_60n,equal_cell,-0.008495943663827596,0.8640876242212194,13.73696276739658,12.123104056465113,22.75118041709466,22.06734845197621,-0.872583567885047,1.613858710931467,0.6838319651184506
whole_blocks,2010,0,5000,south_of_60n,spherical_cell_area,0.3825495287842683,1.0003224935300958,13.360278696813864,11.794606874998646,22.587473875445475,21.852338511952446,-0.6177729647458275,1.5656718218152186,0.7351353634930291
whole_blocks,2010,1,5000,60_to_90n,equal_cell,-27.05186878259184,3.216868294817041,48.363904503224944,21.638869678754723,79.07904496663333,44.72533719717097,-30.26873707740888,26.72503482447022,34.35370776946236
whole_blocks,2010,1,5000,60_to_90n,spherical_cell_area,-25.499569267621503,4.307830898627597,47.19050934252292,24.351781205338494,82.92834373029032,47.92257367530841,-29.8074001662491,22.83872813718443,35.00577005498191
whole_blocks,2010,1,5000,global,equal_cell,-2.3190366262355786,1.0388292852693224,16.448009022830806,12.45525330440518,31.21807047611191,23.037187099567763,-3.357865911504901,3.9927557184256273,8.180883376544148
whole_blocks,2010,1,5000,global,spherical_cell_area,-0.33547803130616793,1.2481527670119088,13.905530589484211,11.749534323196722,24.76489665103178,20.5883737443334,-1.5836307983180768,2.15599626628749,4.176522906698381
whole_blocks,2010,1,5000,south_of_60n,equal_cell,0.2025923026574449,0.8167679321653856,13.194032898054298,11.518940286348165,20.825809837287554,19.332449328144286,-0.6141756295079407,1.6750926117061322,1.493360509143269
whole_blocks,2010,1,5000,south_of_60n,spherical_cell_area,0.44938521543832916,1.1527219847189472,12.867378396877678,11.356472626221175,20.406292805806515,19.02882903527937,-0.7033367692806181,1.5109057706565032,1.3774637705271466
whole_blocks,2010,2,5000,60_to_90n,equal_cell,-32.41087937913054,-1.417307621266319,51.78654041101794,21.323192585332457,90.64110896001013,66.7699210939602,-30.993571757864224,30.46334782568548,23.871187866049922
whole_blocks,2010,2,5000,60_to_90n,spherical_cell_area,-26.700129386642676,-2.268703306264805,46.14313885354488,22.213749757705013,88.87336254267527,69.43346177395325,-24.43142608037787,23.92938909583987,19.439900768722012
whole_blocks,2010,2,5000,global,equal_cell,-5.509514595043564,-0.2528460918175437,19.46403083435825,13.332982191719987,43.43480690268832,34.67344106470759,-5.25666850322602,6.131048642638264,8.761365837980733
whole_blocks,2010,2,5000,global,spherical_cell_area,-1.9782380390320402,0.11204676401348494,15.984711518933022,12.388366355728893,35.47114368852543,30.035032371916778,-2.090284803045525,3.596345163204129,5.4361113166086525
whole_blocks,2010,2,5000,south_of_60n,equal_cell,-1.8049411764528156,-0.09248868008060342,15.012914292097571,12.232654335839833,31.831183445125106,27.43799624922631,-1.712452496372212,2.780259956257739,4.393187195898797
whole_blocks,2010,2,5000,south_of_60n,spherical_cell_area,-0.839735479904356,0.2216860310721202,14.595843401322744,11.935883817468662,30.85297121613342,26.85465795092163,-1.0614215109764762,2.659959583854082,3.998313265211788
