validation_scheme,year,spatial_fold,budget,domain,weighting,comparison,random_bias,comparator_bias,difference_bias,random_mae,comparator_mae,difference_mae,random_rmse,comparator_rmse,difference_rmse
whole_blocks_latitude_cap,2005,4,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,-1.4644636026265012,-1.6978539375480648,-0.23339033492156358,11.656371196809678,12.680312356958911,1.0239411601492332,19.66956849516918,20.572696080528637,0.9031275853594565
whole_blocks_latitude_cap,2005,4,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,-1.4644636026265012,-1.5344120632984086,-0.06994846067190741,11.656371196809678,12.353423962447701,0.6970527656380234,19.66956849516918,20.20672666016295,0.5371581649937696
whole_blocks_latitude_cap,2010,0,5000,global,equal_cell,historical_density_minus_random,1.0313552048155818,0.08839715058668188,-0.9429580542289,12.05618098817892,13.816710268858348,1.7605292806794282,23.17739224803344,23.203383518694082,0.02599127066064355
whole_blocks_latitude_cap,2010,0,5000,global,equal_cell,spatial_coverage_minus_random,1.0313552048155818,0.9106023132270163,-0.1207528915885655,12.05618098817892,12.067072357187932,0.010891369009012664,23.17739224803344,20.006692914944857,-3.1706993330885815
whole_blocks_latitude_cap,2010,0,5000,global,spherical_cell_area,historical_density_minus_random,1.2109954362201336,0.5336118331406483,-0.6773836030794853,11.732710670972377,13.469836306461477,1.7371256354891003,22.928073543802654,23.078437686368062,0.1503641425654081
whole_blocks_latitude_cap,2010,0,5000,global,spherical_cell_area,spatial_coverage_minus_random,1.2109954362201336,1.1925128189298841,-0.01848261729024947,11.732710670972377,11.814366989467409,0.08165631849503185,22.928073543802654,19.96471341726887,-2.9633601265337823
whole_blocks_latitude_cap,2010,0,5000,south_of_60n,equal_cell,historical_density_minus_random,1.0313552048155818,0.08839715058668188,-0.9429580542289,12.05618098817892,13.816710268858348,1.7605292806794282,23.17739224803344,23.203383518694082,0.02599127066064355
whole_blocks_latitude_cap,2010,0,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,1.0313552048155818,0.9106023132270163,-0.1207528915885655,12.05618098817892,12.067072357187932,0.010891369009012664,23.17739224803344,20.006692914944857,-3.1706993330885815
whole_blocks_latitude_cap,2010,0,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,1.2109954362201336,0.5336118331406483,-0.6773836030794853,11.732710670972377,13.469836306461477,1.7371256354891003,22.928073543802654,23.078437686368062,0.1503641425654081
whole_blocks_latitude_cap,2010,0,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,1.2109954362201336,1.1925128189298841,-0.01848261729024947,11.732710670972377,11.814366989467409,0.08165631849503185,22.928073543802654,19.96471341726887,-2.9633601265337823
whole_blocks_latitude_cap,2010,1,5000,global,equal_cell,historical_density_minus_random,-0.19829990496660482,-0.0041523195588900495,0.19414758540771476,11.833504072305272,13.180038306601876,1.3465342342966036,23.40591723811044,20.896078126606433,-2.5098391115040073
