validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_value,comparator_value,mean_difference,sd_seed_difference,seed_fraction_below_zero
month_stratified_hidden_cells,2014,,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,7.221888598277431,8.951737667696394,1.7298490694189623,0.2580191205528057,0.0
month_stratified_hidden_cells,2014,,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,31.211136603154955,49.226932036744984,18.01579543359003,3.4547247280518376,0.0
month_stratified_hidden_cells,2014,,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,65.35219381398768,104.31003003974463,38.957836225756935,12.017690250426654,0.0
month_stratified_hidden_cells,2014,,5000,historical_spatial_month_balanced_minus_random,rmse,20,23.705525385476705,31.761233858148813,8.055708472672109,1.3701261929473063,0.0
whole_spatial_blocks,2005,0.0,5000,historical_spatial_month_balanced_minus_random,bias,20,0.6426126416014897,-4.063065434206842,-4.705678075808331,1.268721104416356,1.0
whole_spatial_blocks,2005,0.0,5000,historical_spatial_month_balanced_minus_random,mae,20,13.098274810904917,17.116641912626882,4.018367101721965,0.7281135790302787,0.0
whole_spatial_blocks,2005,0.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.219067820424893,9.683477318834466,1.4644094984095712,0.2909161615010942,0.0
whole_spatial_blocks,2005,0.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,37.336077090465665,57.959766146116785,20.623689055651116,4.038122213219658,0.0
whole_spatial_blocks,2005,0.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,95.78195012619315,137.32329831185683,41.541348185663665,16.011937635457663,0.05
whole_spatial_blocks,2005,0.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,25.85785066272677,33.04610221387889,7.188251551152122,2.442010355705538,0.05
whole_spatial_blocks,2005,1.0,5000,historical_spatial_month_balanced_minus_random,bias,20,0.6724207642119725,-2.7770763801392278,-3.4494971443512,1.3527367527580387,1.0
whole_spatial_blocks,2005,1.0,5000,historical_spatial_month_balanced_minus_random,mae,20,11.65576708041506,14.70301892176602,3.04725184135096,0.7425832649912597,0.0
whole_spatial_blocks,2005,1.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,7.578629507810073,8.762264165106059,1.1836346572959855,0.22584530052312224,0.0
whole_spatial_blocks,2005,1.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,33.64109242860948,46.47768564844507,12.836593219835583,3.5547927093389706,0.0
whole_spatial_blocks,2005,1.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,80.38002420650744,114.18955456914838,33.80953036264095,20.121995949883075,0.05
whole_spatial_blocks,2005,1.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,20.677362498208964,27.128987178113913,6.45162467990495,3.3035620498223643,0.05
whole_spatial_blocks,2005,2.0,5000,historical_spatial_month_balanced_minus_random,bias,20,0.15810641625436372,-3.9704895914192035,-4.128596007673567,1.7064775287976472,1.0
whole_spatial_blocks,2005,2.0,5000,historical_spatial_month_balanced_minus_random,mae,20,13.78220647179046,18.014961958623992,4.232755486833531,1.066747479623845,0.0
whole_spatial_blocks,2005,2.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.517593155885443,10.127027559499734,1.60943440361429,0.23562898864313284,0.0
whole_spatial_blocks,2005,2.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,36.92092110548882,59.15693961065968,22.236018505170854,3.981404985291834,0.0
whole_spatial_blocks,2005,2.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,102.62729400147573,151.40344489683596,48.77615089536023,37.90340756953884,0.15
whole_spatial_blocks,2005,2.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,34.78126208349667,42.12097634283204,7.339714259335364,3.757515789540847,0.1
whole_spatial_blocks,2005,3.0,5000,historical_spatial_month_balanced_minus_random,bias,20,0.4537075895786007,-4.592551893255488,-5.046259482834089,0.9379891434722255,1.0
whole_spatial_blocks,2005,3.0,5000,historical_spatial_month_balanced_minus_random,mae,20,12.026514733445893,17.13231486125827,5.105800127812376,0.7413794674966985,0.0
whole_spatial_blocks,2005,3.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,7.993020960854894,9.360251488995008,1.3672305281401136,0.29520776681307614,0.0
whole_spatial_blocks,2005,3.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,32.466997258689034,60.79315862461491,28.326161365925874,6.155282975517074,0.0
whole_spatial_blocks,2005,3.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,60.561752348236304,113.17079418276394,52.60904183452764,14.21383323934535,0.0
whole_spatial_blocks,2005,3.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,39.99506302170977,49.25659621310781,9.261533191398048,1.4854827406519906,0.0
whole_spatial_blocks,2005,4.0,5000,historical_spatial_month_balanced_minus_random,bias,20,-0.8813146832134638,-5.7431707374776,-4.861856054264137,1.1428436494122465,1.0
whole_spatial_blocks,2005,4.0,5000,historical_spatial_month_balanced_minus_random,mae,20,12.823888051735882,16.778139910137885,3.954251858402002,0.6749328386618495,0.0
whole_spatial_blocks,2005,4.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.450102550688516,10.060451435953938,1.6103488852654206,0.2614734304875326,0.0
whole_spatial_blocks,2005,4.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,37.663135930702516,52.91143837046915,15.248302439766633,5.210505625031994,0.0
whole_spatial_blocks,2005,4.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,65.87749600776878,114.6807258996666,48.80322989189782,16.47661227386351,0.0
whole_spatial_blocks,2005,4.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,22.902231748247537,31.7822469908634,8.880015242615858,1.6745052529847408,0.0
whole_spatial_blocks,2010,0.0,5000,historical_spatial_month_balanced_minus_random,bias,20,0.4871144159644681,-3.4249741215247793,-3.912088537489248,0.9845391889549768,1.0
whole_spatial_blocks,2010,0.0,5000,historical_spatial_month_balanced_minus_random,mae,20,13.27329666360545,17.487588281262433,4.214291617656983,0.7479692884079655,0.0
