year,spatial_fold,strategy,budget,seed,month,selected_count,selected_fraction,candidate_fraction,equal_month_fraction
2005,2,historical_density,1000,19,5,89,0.089,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,6,93,0.093,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,7,76,0.076,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,8,78,0.078,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,9,81,0.081,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,10,88,0.088,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,11,100,0.1,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,19,12,92,0.092,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,1,442,0.0884,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,2,439,0.0878,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,3,353,0.0706,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,4,319,0.0638,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,5,423,0.0846,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,6,421,0.0842,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,7,354,0.0708,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,8,392,0.0784,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,9,379,0.0758,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,10,468,0.0936,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,11,559,0.1118,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,19,12,451,0.0902,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,1,92,0.092,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,2,87,0.087,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,3,93,0.093,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,4,88,0.088,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,5,85,0.085,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,6,84,0.084,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,7,74,0.074,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,8,92,0.092,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,9,88,0.088,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,10,59,0.059,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,11,83,0.083,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,19,12,75,0.075,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,1,440,0.088,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,2,425,0.085,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,3,417,0.0834,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,4,410,0.082,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,5,412,0.0824,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,6,419,0.0838,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,7,423,0.0846,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,8,428,0.0856,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,9,425,0.085,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,10,392,0.0784,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,11,404,0.0808,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,5000,19,12,405,0.081,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,1,81,0.081,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,2,92,0.092,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,3,80,0.08,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,4,83,0.083,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,5,89,0.089,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,6,89,0.089,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,7,67,0.067,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,8,82,0.082,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,9,82,0.082,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,10,83,0.083,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,11,82,0.082,0.08333333333333333,0.08333333333333333
2005,3,random,1000,0,12,90,0.09,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,1,408,0.0816,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,2,432,0.0864,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,3,435,0.087,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,4,421,0.0842,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,5,454,0.0908,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,6,410,0.082,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,7,365,0.073,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,8,420,0.084,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,9,403,0.0806,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,10,425,0.085,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,11,414,0.0828,0.08333333333333333,0.08333333333333333
2005,3,random,5000,0,12,413,0.0826,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,1,61,0.061,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,2,84,0.084,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,3,87,0.087,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,4,60,0.06,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,5,104,0.104,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,6,94,0.094,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,7,82,0.082,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,8,81,0.081,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,9,92,0.092,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,10,80,0.08,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,11,100,0.1,0.08333333333333333,0.08333333333333333
2005,3,historical_density,1000,0,12,75,0.075,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,1,378,0.0756,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,2,418,0.0836,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,3,413,0.0826,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,4,335,0.067,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,5,463,0.0926,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,6,402,0.0804,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,7,396,0.0792,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,8,373,0.0746,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,9,404,0.0808,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,10,482,0.0964,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,11,546,0.1092,0.08333333333333333,0.08333333333333333
2005,3,historical_density,5000,0,12,390,0.078,0.08333333333333333,0.08333333333333333
