validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_mean,comparator_mean,difference,relative_error_change_percent
whole_spatial_blocks,2005,0.0,1000,historical_density_minus_random,rmse,20,30.0427805935324,35.23224125774239,5.189460664209989,17.27356976180552
whole_spatial_blocks,2005,0.0,1000,historical_density_minus_random,mae,20,15.976179757987339,20.082360229780537,4.1061804717931984,25.70189202922746
whole_spatial_blocks,2005,0.0,1000,historical_density_minus_random,median_absolute_error,20,10.028041209776536,12.755230498106892,2.727189288330356,27.195633038200572
whole_spatial_blocks,2005,0.0,1000,historical_density_minus_random,p95_absolute_error,20,46.49466079061343,62.07717438907232,15.582513598458888,33.51463013921969
whole_spatial_blocks,2005,0.0,1000,historical_density_minus_random,p99_absolute_error,20,115.54743630535923,140.79582796895923,25.248391663600003,21.851105027441402
whole_spatial_blocks,2005,0.0,1000,historical_density_minus_random,bias,20,0.6207374566893172,-3.616149076373779,-4.236886533063096,
whole_spatial_blocks,2005,0.0,1000,spatial_coverage_minus_random,rmse,20,30.0427805935324,29.640209362802665,-0.402571230729734,-1.3399932455533075
whole_spatial_blocks,2005,0.0,1000,spatial_coverage_minus_random,mae,20,15.976179757987339,16.39168954787916,0.4155097898918214,2.6008081793401585
whole_spatial_blocks,2005,0.0,1000,spatial_coverage_minus_random,median_absolute_error,20,10.028041209776536,10.533093564504814,0.5050523547282779,5.036400869951476
whole_spatial_blocks,2005,0.0,1000,spatial_coverage_minus_random,p95_absolute_error,20,46.49466079061343,47.261240807186844,0.766580016573414,1.6487484875428429
whole_spatial_blocks,2005,0.0,1000,spatial_coverage_minus_random,p99_absolute_error,20,115.54743630535923,111.34936275857297,-4.1980735467862615,-3.6332035404852596
whole_spatial_blocks,2005,0.0,1000,spatial_coverage_minus_random,bias,20,0.6207374566893172,0.9157963844043377,0.2950589277150205,
whole_spatial_blocks,2005,0.0,5000,historical_density_minus_random,rmse,20,25.85785066272677,33.02855072344445,7.170700060717678,27.731230078817042
whole_spatial_blocks,2005,0.0,5000,historical_density_minus_random,mae,20,13.098274810904917,17.602641155902344,4.504366344997427,34.38900473554987
whole_spatial_blocks,2005,0.0,5000,historical_density_minus_random,median_absolute_error,20,8.219067820424893,10.427997456255373,2.2089296358304793,26.87567111128043
whole_spatial_blocks,2005,0.0,5000,historical_density_minus_random,p95_absolute_error,20,37.336077090465665,59.473204565617735,22.13712747515207,59.29151962460759
whole_spatial_blocks,2005,0.0,5000,historical_density_minus_random,p99_absolute_error,20,95.78195012619315,135.62489757868474,39.842947452491586,41.597552983624084
whole_spatial_blocks,2005,0.0,5000,historical_density_minus_random,bias,20,0.6426126416014897,-4.846604710114148,-5.489217351715638,
whole_spatial_blocks,2005,0.0,5000,spatial_coverage_minus_random,rmse,20,25.85785066272677,27.97478214040849,2.116931477681721,8.186803711157662
whole_spatial_blocks,2005,0.0,5000,spatial_coverage_minus_random,mae,20,13.098274810904917,13.93151779513813,0.8332429842332143,6.361471233902508
whole_spatial_blocks,2005,0.0,5000,spatial_coverage_minus_random,median_absolute_error,20,8.219067820424893,8.845448452438998,0.6263806320141043,7.621066594164239
whole_spatial_blocks,2005,0.0,5000,spatial_coverage_minus_random,p95_absolute_error,20,37.336077090465665,38.60935553463395,1.2732784441682838,3.4103166250785217
whole_spatial_blocks,2005,0.0,5000,spatial_coverage_minus_random,p99_absolute_error,20,95.78195012619315,98.50805604403303,2.726105917839874,2.846158294175695
whole_spatial_blocks,2005,0.0,5000,spatial_coverage_minus_random,bias,20,0.6426126416014897,1.0604853790334254,0.41787273743193576,
whole_spatial_blocks,2005,1.0,1000,historical_density_minus_random,rmse,20,25.449339632806605,31.080172309998694,5.630832677192089,22.12565338997407
whole_spatial_blocks,2005,1.0,1000,historical_density_minus_random,mae,20,14.505753427542302,18.544949424138686,4.0391959965963835,27.84547536101847
whole_spatial_blocks,2005,1.0,1000,historical_density_minus_random,median_absolute_error,20,9.196182055729134,11.726693229846509,2.5305111741173754,27.516975618603496
whole_spatial_blocks,2005,1.0,1000,historical_density_minus_random,p95_absolute_error,20,43.24089691344405,57.35379519675897,14.112898283314927,32.637848173142494
whole_spatial_blocks,2005,1.0,1000,historical_density_minus_random,p99_absolute_error,20,96.64654961705902,121.47313580351002,24.826586186450996,25.6880212328541
whole_spatial_blocks,2005,1.0,1000,historical_density_minus_random,bias,20,0.6099008923687369,-2.6605678473543604,-3.270468739723097,
